
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-04-02 18:51:33 / ........................................................................................ ~ 2s
  2026-04-02 18:51:35 /b2b/login ............................................................................... ~ 1s
  2026-04-02 18:51:35 / ........................................................................................ ~ 2s
  2026-04-02 18:52:30 / .................................................................................. ~ 506.51ms
  2026-04-02 18:52:30 /login ............................................................................. ~ 544.81ms
  2026-04-02 18:52:31 /css/app.css ......................................................................... ~ 0.38ms
  2026-04-02 18:52:31 /images/logo-auth.png ............................................................... ~ 28.15ms
  2026-04-02 18:52:31 /js/pwa.js .......................................................................... ~ 48.81ms
  2026-04-02 18:52:31 /manifest.json ...................................................................... ~ 77.34ms
  2026-04-02 18:52:34 /login ............................................................................. ~ 505.87ms
  2026-04-02 18:52:34 /css/app.css ....................................................................... ~ 545.20ms
  2026-04-02 18:52:34 /images/logo-auth.png ................................................................ ~ 0.22ms
  2026-04-02 18:52:34 /js/pwa.js .......................................................................... ~ 21.43ms
  2026-04-02 18:52:34 /manifest.json ....................................................................... ~ 0.19ms
  2026-04-02 18:52:34 /favicon.ico ......................................................................... ~ 0.20ms
  2026-04-02 18:52:34 /icons/icon-96x96.png ................................................................ ~ 0.18ms
  2026-04-02 18:52:52 /admin/login ....................................................................... ~ 506.94ms
  2026-04-02 18:52:53 /css/app.css ......................................................................... ~ 0.36ms
  2026-04-02 18:52:53 /js/pwa.js .......................................................................... ~ 29.84ms
  2026-04-02 18:52:53 /manifest.json ....................................................................... ~ 0.30ms
  2026-04-02 18:54:19 /admin/login ............................................................................. ~ 2s
  2026-04-02 18:54:21 /admin ................................................................................... ~ 1s
  2026-04-02 18:54:23 /css/app.css ......................................................................... ~ 0.30ms
  2026-04-02 18:54:23 /images/logo-sidebar.png ............................................................ ~ 28.12ms
  2026-04-02 18:54:23 /js/pwa.js .......................................................................... ~ 51.87ms
  2026-04-02 18:54:30 /internal/accounts ....................................................................... ~ 1s
  2026-04-02 18:54:31 /css/app.css ......................................................................... ~ 0.35ms
  2026-04-02 18:54:31 /js/pwa.js .......................................................................... ~ 28.20ms
  2026-04-02 18:54:31 /images/logo-sidebar.png ............................................................ ~ 56.63ms
  2026-04-02 18:54:31 /manifest.json ....................................................................... ~ 0.35ms
  2026-04-02 18:54:38 /internal/shipments ...................................................................... ~ 1s
  2026-04-02 18:54:39 /css/app.css ......................................................................... ~ 0.37ms
  2026-04-02 18:54:39 /js/pwa.js .......................................................................... ~ 27.32ms
  2026-04-02 18:54:39 /images/logo-sidebar.png ............................................................ ~ 55.08ms
  2026-04-02 18:54:39 /manifest.json ....................................................................... ~ 0.35ms
  2026-04-02 18:56:07 /internal/kyc ...................................................................... ~ 516.94ms
  2026-04-02 18:56:08 /css/app.css ......................................................................... ~ 0.38ms
  2026-04-02 18:56:08 /images/logo-sidebar.png ............................................................ ~ 30.97ms
  2026-04-02 18:56:08 /js/pwa.js .......................................................................... ~ 51.53ms
  2026-04-02 18:56:08 /manifest.json ...................................................................... ~ 81.41ms
  2026-04-02 18:56:52 /internal/shipments ................................................................ ~ 513.20ms
  2026-04-02 18:56:52 /css/app.css ......................................................................... ~ 0.35ms
  2026-04-02 18:56:52 /images/logo-sidebar.png ............................................................ ~ 30.43ms
  2026-04-02 18:56:52 /js/pwa.js .......................................................................... ~ 51.23ms
  2026-04-02 18:56:53 /manifest.json ...................................................................... ~ 80.53ms
  2026-04-02 18:57:29 /internal/kyc ...................................................................... ~ 513.16ms
  2026-04-02 18:57:30 /css/app.css ........................................................................ ~ 29.63ms
  2026-04-02 18:57:30 /images/logo-sidebar.png ............................................................. ~ 0.36ms
  2026-04-02 18:57:30 /js/pwa.js .......................................................................... ~ 19.98ms
  2026-04-02 18:57:30 /manifest.json ...................................................................... ~ 48.00ms
  2026-04-02 18:57:47 /internal/staff .......................................................................... ~ 1s
  2026-04-02 18:57:48 /css/app.css ......................................................................... ~ 0.31ms
  2026-04-02 18:57:48 /images/logo-sidebar.png ............................................................ ~ 29.13ms
  2026-04-02 18:57:48 /js/pwa.js .......................................................................... ~ 49.73ms
  2026-04-02 18:57:48 /manifest.json ....................................................................... ~ 0.28ms
  2026-04-02 18:58:24 /internal/accounts ................................................................. ~ 507.92ms
  2026-04-02 18:58:24 /css/app.css ....................................................................... ~ 530.99ms
  2026-04-02 18:58:24 /images/logo-sidebar.png ............................................................. ~ 0.33ms
  2026-04-02 18:58:24 /js/pwa.js .......................................................................... ~ 22.99ms
  2026-04-02 18:58:24 /manifest.json ...................................................................... ~ 52.64ms
  2026-04-02 18:58:31 /internal/shipments ................................................................ ~ 519.29ms
  2026-04-02 18:58:31 /css/app.css ....................................................................... ~ 543.45ms
  2026-04-02 18:58:32 /images/logo-sidebar.png ............................................................. ~ 0.37ms
  2026-04-02 18:58:32 /js/pwa.js .......................................................................... ~ 24.77ms
  2026-04-02 18:58:32 /manifest.json ...................................................................... ~ 56.04ms
  2026-04-02 18:58:55 /internal/shipments ................................................................ ~ 504.10ms
  2026-04-02 18:58:56 /login ............................................................................. ~ 511.14ms
  2026-04-02 18:58:56 /css/app.css ......................................................................... ~ 0.25ms
  2026-04-02 18:58:56 /images/logo-auth.png ................................................................ ~ 0.43ms
  2026-04-02 18:58:56 /js/pwa.js .......................................................................... ~ 27.69ms
  2026-04-02 18:58:56 /manifest.json ...................................................................... ~ 61.85ms
  2026-04-02 18:58:59 /admin/login ....................................................................... ~ 514.20ms
  2026-04-02 18:59:00 /css/app.css ....................................................................... ~ 541.25ms
  2026-04-02 18:59:00 /js/pwa.js ........................................................................... ~ 0.30ms
  2026-04-02 18:59:00 /manifest.json ...................................................................... ~ 36.83ms
  2026-04-02 18:59:03 /admin/login ....................................................................... ~ 502.07ms
  2026-04-02 18:59:03 /admin/login ......................................................................... ~ 0.31ms
  2026-04-02 18:59:03 /css/app.css ....................................................................... ~ 513.81ms
  2026-04-02 18:59:03 /js/pwa.js .......................................................................... ~ 31.72ms
  2026-04-02 18:59:03 /manifest.json ...................................................................... ~ 65.01ms
  2026-04-02 19:00:59 /admin/login ....................................................................... ~ 513.88ms
  2026-04-02 19:00:59 /admin ................................................................................... ~ 1s
  2026-04-02 19:01:01 /admin/login ....................................................................... ~ 506.27ms
  2026-04-02 19:01:01 /admin/login ............................................................................. ~ 4s
  2026-04-02 19:01:05 /admin ............................................................................. ~ 538.62ms
  2026-04-02 19:01:06 /internal/accounts ....................................................................... ~ 5s
  2026-04-02 19:01:06 /css/app.css ............................................................................. ~ 5s
  2026-04-02 19:01:12 /images/logo-sidebar.png ............................................................. ~ 0.24ms
  2026-04-02 19:01:12 /js/pwa.js .......................................................................... ~ 21.98ms
  2026-04-02 19:01:12 /manifest.json ...................................................................... ~ 55.10ms
  2026-04-02 19:01:14 /admin/tenant-context .............................................................. ~ 515.42ms
  2026-04-02 19:01:15 /css/app.css ......................................................................... ~ 0.28ms
  2026-04-02 19:01:15 /images/logo-sidebar.png ............................................................ ~ 60.29ms
  2026-04-02 19:01:15 /js/pwa.js ......................................................................... ~ 313.68ms
  2026-04-02 19:01:15 /manifest.json ..................................................................... ~ 393.15ms
  2026-04-02 19:01:17 /admin/tenant-context .............................................................. ~ 506.38ms
  2026-04-02 19:01:17 /admin ............................................................................... ~ 0.35ms
  2026-04-02 19:01:17 /css/app.css ....................................................................... ~ 503.81ms
  2026-04-02 19:01:17 /images/logo-sidebar.png ........................................................... ~ 543.39ms
  2026-04-02 19:01:17 /js/pwa.js ......................................................................... ~ 570.00ms
  2026-04-02 19:01:28 /admin/reports ........................................................................... ~ 1s
  2026-04-02 19:01:29 /css/app.css ......................................................................... ~ 0.37ms
  2026-04-02 19:01:29 /images/logo-sidebar.png ............................................................. ~ 0.33ms
  2026-04-02 19:01:29 /js/pwa.js .......................................................................... ~ 20.74ms
  2026-04-02 19:01:29 /manifest.json ...................................................................... ~ 50.44ms
  2026-04-02 19:01:41 /admin/roles ....................................................................... ~ 513.03ms
  2026-04-02 19:01:42 /css/app.css ......................................................................... ~ 0.32ms
  2026-04-02 19:01:42 /images/logo-sidebar.png ............................................................. ~ 0.51ms
  2026-04-02 19:01:42 /js/pwa.js .......................................................................... ~ 21.40ms
  2026-04-02 19:01:42 /manifest.json ...................................................................... ~ 51.10ms
  2026-04-02 19:01:43 /admin/users ............................................................................. ~ 1s
  2026-04-02 19:01:43 /css/app.css ......................................................................... ~ 0.36ms
  2026-04-02 19:01:43 /images/logo-sidebar.png ............................................................. ~ 0.41ms
  2026-04-02 19:01:43 /js/pwa.js .......................................................................... ~ 20.88ms
  2026-04-02 19:01:43 /manifest.json ...................................................................... ~ 50.01ms
  2026-04-02 19:01:44 /internal/smtp-settings .................................................................. ~ 1s
  2026-04-02 19:01:45 /css/app.css ......................................................................... ~ 0.20ms
  2026-04-02 19:01:45 /images/logo-sidebar.png ............................................................. ~ 0.61ms
  2026-04-02 19:01:45 /js/pwa.js .......................................................................... ~ 21.93ms
  2026-04-02 19:01:45 /manifest.json ...................................................................... ~ 50.86ms
  2026-04-02 19:01:48 /internal/staff .......................................................................... ~ 1s
  2026-04-02 19:01:48 /css/app.css ....................................................................... ~ 561.47ms
  2026-04-02 19:01:48 /images/logo-sidebar.png ............................................................. ~ 0.22ms
  2026-04-02 19:01:48 /js/pwa.js .......................................................................... ~ 21.08ms
